Years,New York Knicks,Los Angeles Lakers,Golden State Warriors,Chicago Bulls,Boston Celtics,Los Angeles Clippers,Brooklyn Nets,Houston Rockets,Dallas Mavericks,Cleveland Cavaliers,Miami Heat,San Antonio Spurs,Toronto Raptors,Phoenix Suns,Sacramento Kings,Portland Trail Blazers,Oklahoma City Thunder,Washington Wizards,Orlando Magic,Utah Jazz,Detroit Pistons,Denver Nuggets,Atlanta Hawks,Indiana Pacers,Philadelphia 76ers,Memphis Grizzlies,Milwaukee Bucks,Charlotte Hornets,Minnesota Timberwolves,New Orleans Pelicans
2001,395,390,168,314,212,154,179,206,167,185,225,189,148,252,178,272,187,210,165,226,236,175,184,232,233,118,131,n/a,169,144
2002,392,426,166,329,218,170,169,234,211,202,248,221,172,266,209,283,200,214,176,225,230,188,199,231,279,160,150,n/a,185,135
2003,398,426,176,323,274,205,218,255,304,222,250,242,217,272,259,270,207,278,197,226,258,209,206,246,298,198,168,n/a,213,216
2004,401,447,188,356,290,208,244,278,338,258,236,283,249,282,275,272,196,274,199,239,284,218,202,280,328,227,174,n/a,230,216
2005,494,510,228,368,334,224,296,369,374,298,279,324,297,356,330,247,205,273,218,257,363,268,232,311,342,238,199,300,291,225
2006,543,529,243,409,353,248,271,422,403,356,362,350,278,395,345,227,234,318,247,274,402,283,262,350,351,294,231,200,303,225
2007,592,568,267,461,367,285,325,439,463,380,409,390,315,410,379,230,268,334,283,297,429,309,275,340,375,313,260,277,308,248
2008,608,560,309,500,391,294,338,462,461,455,418,405,373,449,385,253,269,348,322,342,477,321,286,333,380,304,264,287,308,272
2009,613,584,335,504,447,297,295,469,466,477,393,415,400,452,350,307,300,353,349,358,480,329,306,303,360,294,278,284,301,285
2010,586,607,315,511,433,295,269,470,446,476,364,398,386,429,305,338,310,313,361,343,479,321,306,281,344,257,254,278,268,267
2011,655,643,363,511,452,305,312,443,438,355,425,404,399,411,293,356,329,322,385,343,360,316,295,269,330,266,258,281,264,280
2012,780,900,450,600,482,324,357,453,497,329,457,418,382,395,300,370,348,328,385,335,332,316,270,283,314,269,268,277,272,285
2013,"1,100","1,000",555,800,730,430,530,568,685,434,625,527,405,474,525,457,475,397,470,432,400,427,316,383,418,377,312,315,364,340
2014,"1,400","1,350",750,"1,200",875,575,780,775,765,515,770,660,520,565,550,587,590,485,560,525,450,495,425,475,469,453,405,410,430,420
2015,"2,500","2,600","1,300","2,000","1,700","1,600","1,500","1,250","1,150",915,"1,175","1,000",920,910,800,940,930,900,875,850,810,855,825,830,700,750,600,725,625,650
2016,"3,000","2,700","1,900","2,300","2,100","2,000","1,700","1,500","1,400","1,100","1,300","1,150",980,"1,000",925,975,950,960,900,875,850,855,825,840,700,780,675,750,720,650
2017,"3,300","3,000","2,600","2,500","2,200","2,000","1,800","1,650","1,450","1,200","1,350","1,175","1,125","1,100","1,075","1,050","1,025","1,000",920,910,900,890,885,880,800,790,785,780,770,750